Region,Period Begin,Period End,Avg Sale To List,Homes Sold,Inventory,Median Dom,Median List Price,months_of_supply,New Listings,Period Duration,Price Drops,Sold Above List
"San Francisco, CA",10/1/2013,10/31/2013,1.073114043,652,794,15,875000,1.2,672,30,0.231738035,0.720430108
"Seattle, WA",11/1/2016,11/30/2016,1.015913076,1042,795,11,575000,0.8,626,30,0.298113208,0.404990403
National,8/1/2017,8/31/2017,0.984834552,283864,772264,39,287900,2.7,305401,30,0.265832669,0.248623785
"Washington, DC",3/1/2012,3/31/2012,0.974906402,569,1899,50,449900,3.3,994,30,0.218536072,0.202108963
"Seattle, WA",3/1/2017,3/31/2017,1.058717757,968,643,8,610943,0.7,1214,30,0.166407465,0.60910031
"San Jose, CA",4/1/2015,4/30/2015,1.06222325,921,813,11,729000,0.9,1023,30,0.158671587,0.776330076
"Seattle, WA",6/1/2014,6/30/2014,1.014530422,1082,1598,8,465000,1.5,1283,30,0.306007509,0.431608133
"San Jose, CA",3/1/2012,3/31/2012,0.9973407,882,1268,24,483800,1.4,987,30,0.200315457,0.39954597
"San Jose, CA",7/1/2016,7/31/2016,1.024038147,754,1422,28,769949,1.9,930,30,0.20464135,0.660477454
National,5/1/2015,5/31/2015,0.978695234,248656,898945,50,273600,3.6,341430,30,0.211852783,0.217738612
"San Jose, CA",6/1/2014,6/30/2014,1.035464599,870,1087,12,675000,1.2,975,30,0.207911684,0.683908046
"San Jose, CA",9/1/2016,9/30/2016,1.016447415,811,1309,31,799000,1.6,830,30,0.226126814,0.59432799
"Washington, DC",12/1/2017,12/31/2017,0.994718413,788,1350,27,475000,1.7,489,30,0.183703704,0.319796954
"Chicago, IL",8/1/2016,8/31/2016,0.982958997,3612,12670,61,259900,3.5,3899,30,0.215153907,0.269379845
"Chicago, IL",2/1/2016,2/29/2016,0.971018736,1871,10955,84,283450,5.9,4123,30,0.147056139,0.2202031
"Boston, MA",12/1/2012,12/31/2012,0.976360242,549,1302,87,409950,2.4,197,30,0.065284178,0.224043716
"Boston, MA",7/1/2017,7/31/2017,1.015856053,676,1025,9,625000,1.5,633,30,0.259512195,0.50739645
"Chicago, IL",7/1/2015,7/31/2015,0.97962622,3919,13699,62,255950,3.5,4269,30,0.220965034,0.233733095
"Boston, MA",6/1/2012,6/30/2012,0.974566154,803,2850,86,419000,3.5,705,30,0.137192982,0.158156912
"Boston, MA",8/1/2013,8/31/2013,1.00205766,854,1869,71,440000,2.2,507,30,0.104333868,0.405152225
"Los Angeles, CA",8/1/2014,8/31/2014,0.993432843,2465,6985,24,529500,2.8,3143,30,0.268718683,0.339285714
"San Diego, CA",1/1/2012,1/31/2012,0.967141368,951,3774,59,349900,4,1583,30,0.277954425,0.196635121
"Los Angeles, CA",5/1/2013,5/31/2013,1.009630573,3024,4619,15,499000,1.5,3521,30,0.212816627,0.487925901
"San Diego, CA",1/1/2014,1/31/2014,0.97321076,984,2826,40,459000,2.9,1595,30,0.223991507,0.18495935
"San Francisco, CA",11/1/2013,11/30/2013,1.069056461,562,569,16,849000,1,391,30,0.149384886,0.695729537
"San Jose, CA",6/1/2015,6/30/2015,1.061758513,937,1062,11,749000,1.1,1027,30,0.173258004,0.799359658
"Washington, DC",3/1/2013,3/31/2013,0.995500836,631,1154,26,477000,1.8,823,30,0.189774697,0.319047619
National,3/1/2013,3/31/2013,0.963297181,180652,660117,67,240400,3.7,238871,30,0.091924613,0.224733381
"Washington, DC",1/1/2012,1/31/2012,0.973654723,448,1809,58,399900,4,656,30,0.206744057,0.167410714
"Seattle, WA",4/1/2013,4/30/2013,1.007950273,950,1386,9,400000,1.5,1225,30,0.241702742,0.409473684
National,1/1/2016,1/31/2016,0.971792827,160600,745719,66,267100,4.6,231682,30,0.189536541,0.178961636
"Washington, DC",6/1/2014,6/30/2014,0.999936969,902,1492,11,474999.5,1.7,1049,30,0.276809651,0.396895787
"San Francisco, CA",1/1/2013,1/31/2013,1.033309835,342,508,24,799000,1.5,474,30,0.114173228,0.51754386
"San Jose, CA",5/1/2014,5/31/2014,1.040685297,904,1023,12,675000,1.1,1122,30,0.194525904,0.725663717
"Seattle, WA",7/1/2015,7/31/2015,1.032967485,1317,1079,8,474975,0.8,1206,30,0.230769231,0.486712225
"Chicago, IL",12/1/2017,12/31/2017,0.975010861,2136,8050,73,224900,3.8,1339,30,0.127204969,0.21488764
National,12/1/2013,12/31/2013,0.973117607,179393,646579,63,216300,3.6,125329,30,0.099183549,0.189076337
National,5/1/2016,5/31/2016,0.984321891,265748,842970,44,288000,3.2,341645,30,0.230663013,0.242091705
"San Diego, CA",9/1/2017,9/30/2017,0.990542678,1353,2317,19,569000,1.7,1395,30,0.302546396,0.303769401
"Washington, DC",10/1/2016,10/31/2016,0.997402098,694,1593,20,551000,2.3,928,30,0.269303202,0.33573487
"San Diego, CA",2/1/2013,2/28/2013,0.994358401,1103,1971,23,444900,1.8,1485,30,0.182141045,0.349954669
"Washington, DC",9/1/2012,9/30/2012,0.985192232,583,1691,28,450000,2.9,926,30,0.234180958,0.266323024
"San Jose, CA",11/1/2012,11/30/2012,1.028725261,801,688,14,525000,0.9,581,30,0.186046512,0.601747815
National,2/1/2016,2/29/2016,0.972421466,166835,769565,69,276900,4.6,270910,30,0.178461858,0.184797761
National,9/1/2015,9/30/2015,0.97873062,218762,887242,50,266800,4.1,274319,30,0.2453378,0.193344343
"Washington, DC",11/1/2015,11/30/2015,0.997072128,634,1532,19,499500,2.4,645,30,0.281984334,0.3507109
"San Diego, CA",7/1/2012,7/31/2012,0.98179554,1417,3019,28,385000,2.1,1624,30,0.237164624,0.268877911
National,4/1/2018,4/30/2018,0.988101244,243860,677535,36,328800,2.8,342777,30,0.22299955,0.26247013
"Chicago, IL",7/1/2012,7/31/2012,0.96301644,2563,15025,87,179950,5.9,3457,30,0.201131448,0.230979321
"Seattle, WA",12/1/2014,12/31/2014,0.995674365,826,1005,23,429000,1.2,379,30,0.1960199,0.303874092
"Washington, DC",12/1/2014,12/31/2014,0.992973875,718,1218,25,439499.5,1.7,436,30,0.205254516,0.296657382
National,8/1/2013,8/31/2013,0.97940587,235068,744974,50,238100,3.2,246599,30,0.134815443,0.23261627
National,11/1/2017,11/30/2017,0.979120013,222054,677201,46,287000,3,212089,30,0.213867079,0.215783348
"Seattle, WA",4/1/2012,4/30/2012,0.984778542,787,2006,31,389950,2.5,1048,30,0.260717846,0.27064803
"San Diego, CA",3/1/2013,3/31/2013,0.993861124,1501,2050,16,459900,1.4,1770,30,0.176585366,0.340439707
"San Francisco, CA",1/1/2012,1/31/2012,0.986438388,307,905,56,699000,2.9,531,30,0.159116022,0.28990228
"Washington, DC",5/1/2014,5/31/2014,1.001813089,760,1379,13,499900,1.8,1130,30,0.269760696,0.395256917
"Washington, DC",1/1/2014,1/31/2014,0.986484391,540,1238,33,449000,2.3,635,30,0.233441034,0.248148148
"San Jose, CA",4/1/2012,4/30/2012,1.001144087,879,1136,20,479000,1.3,884,30,0.155809859,0.44254835
"San Diego, CA",10/1/2014,10/31/2014,0.972143175,1288,3597,40,479450,2.8,1438,30,0.333333333,0.145962733
"Seattle, WA",10/1/2016,10/31/2016,1.020926569,1096,1099,10,569990,1,932,30,0.335759782,0.445255474
"Seattle, WA",11/1/2013,11/30/2013,0.993751145,768,1528,17,389925,2,600,30,0.294502618,0.282552083
"San Jose, CA",11/1/2017,11/30/2017,1.078601543,647,326,11,890000,0.5,451,30,0.125766871,0.808346213
"San Jose, CA",2/1/2015,2/28/2015,1.031343085,478,667,14,700000,1.4,746,30,0.106446777,0.642259414
National,12/1/2014,12/31/2014,0.97176138,203389,734176,66,225700,3.6,145724,30,0.129039903,0.163801334
"San Jose, CA",10/1/2015,10/31/2015,1.026269033,729,1164,26,725000,1.6,760,30,0.23024055,0.625514403
"San Francisco, CA",2/1/2012,2/29/2012,0.999676953,402,925,47,749000,2.3,563,30,0.161081081,0.373134328
"San Diego, CA",7/1/2013,7/31/2013,0.995839283,1662,3194,15,465000,1.9,2058,30,0.275516594,0.374247894
"San Jose, CA",5/1/2015,5/31/2015,1.064432678,903,964,11,765000,1.1,1073,30,0.145228216,0.793791574
National,12/1/2012,12/31/2012,0.967831773,169811,607280,68,195700,3.6,117079,30,0.071548544,0.213055958
"San Francisco, CA",4/1/2018,4/30/2018,1.133377097,485,706,15,1298500,1.5,628,30,0.113314448,0.731958763
"San Jose, CA",5/1/2016,5/31/2016,1.041809917,857,1270,16,808000,1.5,1079,30,0.176377953,0.756126021
"Washington, DC",5/1/2017,5/31/2017,1.006752346,986,1647,11,569700,1.7,1189,30,0.282331512,0.429441624
"Seattle, WA",1/1/2017,1/31/2017,1.018591921,640,578,16,599999,0.9,728,30,0.174740484,0.3921875
"San Jose, CA",8/1/2012,8/31/2012,1.017148603,875,986,15,499950,1.1,854,30,0.221095335,0.554285714
"San Francisco, CA",5/1/2016,5/31/2016,1.100498242,484,834,15,1195000,1.7,658,30,0.207434053,0.729338843
"San Jose, CA",7/1/2012,7/31/2012,1.020071767,854,1023,14,524975,1.2,843,30,0.193548387,0.572599532
"Chicago, IL",3/1/2014,3/31/2014,0.978248129,1917,11067,75,255000,5.8,4141,30,0.180084937,0.278038602
"Seattle, WA",5/1/2015,5/31/2015,1.036981234,1145,1095,7,495000,1,1396,30,0.197260274,0.561572052
"Chicago, IL",6/1/2017,6/30/2017,0.986732492,3451,12001,52,299900,3.5,3945,30,0.20931589,0.288901768
"Los Angeles, CA",6/1/2016,6/30/2016,1.001403962,2846,6886,29,650000,2.4,3692,30,0.219285507,0.420590302
"Chicago, IL",10/1/2013,10/31/2013,0.982256116,3454,12503,66,200000,3.6,3384,30,0.206830361,0.277150304
"Los Angeles, CA",10/1/2015,10/31/2015,0.996878915,2541,6407,26,615000,2.5,3115,30,0.24551272,0.364566929
"San Francisco, CA",4/1/2016,4/30/2016,1.088693801,452,829,16,1125000,1.8,695,30,0.172496984,0.685840708
"Los Angeles, CA",3/1/2016,3/31/2016,0.998891506,2448,6080,31,625000,2.5,3517,30,0.191940789,0.388798038
"Los Angeles, CA",4/1/2016,4/30/2016,0.999117575,2442,6306,29,645500,2.6,3447,30,0.183158896,0.409090909
"Chicago, IL",2/1/2015,2/28/2015,0.967031245,1752,11372,91,270000,6.5,3519,30,0.140344706,0.227739726
National,9/1/2014,9/30/2014,0.974185315,205516,858568,55,253000,4.2,249356,30,0.18796531,0.175088361
"San Jose, CA",10/1/2012,10/31/2012,1.020921034,844,871,14,523888,1,853,30,0.20206659,0.599526066
National,11/1/2013,11/30/2013,0.974561944,167495,706203,60,227200,4.2,164907,30,0.142580816,0.198647037
"San Francisco, CA",7/1/2016,7/31/2016,1.078292502,464,963,20,1095000,2.1,529,30,0.148494289,0.672413793
National,10/1/2016,10/31/2016,0.977845475,230073,808297,49,275200,3.5,248690,30,0.234240632,0.208930706
"San Diego, CA",9/1/2014,9/30/2014,0.973701113,1328,3821,36,475500,2.9,1516,30,0.3069877,0.142319277
"San Diego, CA",3/1/2018,3/31/2018,0.991057513,1216,2077,14,644000,1.7,1727,30,0.276841598,0.337993421
National,6/1/2017,6/30/2017,0.986765356,310539,788266,37,297500,2.5,349625,30,0.245391784,0.271603544
National,11/1/2015,11/30/2015,0.973479242,182535,817949,56,251600,4.5,202466,30,0.198019681,0.190618789
National,8/1/2014,8/31/2014,0.978158741,238708,859468,50,247800,3.6,255804,30,0.172751051,0.183573415
"Washington, DC",6/1/2017,6/30/2017,1.006171139,942,1765,14,575000,1.9,1262,30,0.288385269,0.403397028
National,2/1/2014,2/28/2014,0.97202973,141686,709465,73,249300,5,215445,30,0.124261239,0.184713304
"Chicago, IL",9/1/2014,9/30/2014,0.977071388,2286,13550,61,249900,5.9,3878,30,0.242435424,0.236657918
"Seattle, WA",10/1/2015,10/31/2015,1.022876048,1040,1127,8,499500,1.1,963,30,0.301685892,0.469682387
"San Francisco, CA",9/1/2014,9/30/2014,1.083439265,473,763,16,1009750,1.6,839,30,0.145478375,0.737843552
"San Jose, CA",12/1/2015,12/31/2015,1.02147761,785,539,35,699974.5,0.7,314,30,0.13729128,0.597452229
"San Jose, CA",2/1/2012,2/29/2012,0.990196054,659,1396,29,460000,2.1,867,30,0.228510029,0.350531108
"San Jose, CA",12/1/2016,12/31/2016,1.011145994,649,543,40,778000,0.8,237,30,0.119705341,0.533950617
"San Diego, CA",4/1/2013,4/30/2013,0.997674112,1443,2185,14,456700,1.5,1843,30,0.180320366,0.410131853
"Los Angeles, CA",3/1/2012,3/31/2012,0.976344335,2699,8749,62,350000,3.2,3382,30,0.217281975,0.271312083
"Boston, MA",4/1/2014,4/30/2014,0.998355177,508,2171,62,499000,4.3,987,30,0.100414556,0.383858268
"Washington, DC",12/1/2015,12/31/2015,0.997074532,818,1293,23,489000,1.6,495,30,0.201856148,0.321515892
"Chicago, IL",6/1/2012,6/30/2012,0.964299965,2701,15236,91,180000,5.6,3489,30,0.197033342,0.222880415
"San Jose, CA",3/1/2013,3/31/2013,1.054826812,762,656,11,599919,0.9,908,30,0.143292683,0.712598425
"Washington, DC",2/1/2012,2/29/2012,0.973383602,435,1784,64,399999,4.1,683,30,0.195067265,0.168202765
"San Diego, CA",3/1/2014,3/31/2014,0.979649389,1235,3080,23,489000,2.5,1847,30,0.235064935,0.233198381
"Washington, DC",2/1/2015,2/28/2015,0.991363952,492,1179,39,512500,2.4,712,30,0.185750636,0.278455285
National,11/1/2016,11/30/2016,0.977322113,218605,751985,51,267800,3.4,205859,30,0.215377966,0.203756251
"Boston, MA",3/1/2017,3/31/2017,1.003131152,493,820,16,629900,1.7,855,30,0.174390244,0.39959432
"Boston, MA",5/1/2015,5/31/2015,1.013069602,578,1115,8,549900,1.9,973,30,0.22690583,0.515570934
"Boston, MA",1/1/2013,1/31/2013,0.982983791,353,1360,99,445000,3.9,526,30,0.084558824,0.212464589
"Seattle, WA",8/1/2015,8/31/2015,1.028718722,1126,1133,9,495000,1,1149,30,0.228596646,0.469804618
"Boston, MA",10/1/2014,10/31/2014,0.993563134,524,1831,60,499900,3.5,682,30,0.21463681,0.335877863
"Chicago, IL",10/1/2016,10/31/2016,0.980495775,2598,12332,65,249900,4.7,3087,30,0.211401233,0.247498075
"San Jose, CA",5/1/2017,5/31/2017,1.045590004,884,841,14,859999,1,949,30,0.196195006,0.752262443
National,3/1/2016,3/31/2016,0.980014089,223589,799797,61,286200,3.6,340160,30,0.215612212,0.210716423
"Seattle, WA",10/1/2017,10/31/2017,1.039822863,1079,925,8,650000,0.9,1034,30,0.278918919,0.55204461
"San Francisco, CA",7/1/2012,7/31/2012,1.031513545,527,776,18,739000,1.5,546,30,0.121134021,0.525616698
"Washington, DC",7/1/2012,7/31/2012,0.990970267,727,1677,25,399999,2.3,683,30,0.234347048,0.261348006
"Washington, DC",7/1/2016,7/31/2016,1.000387395,821,1487,16,545000,1.8,873,30,0.247478144,0.371498173
"Seattle, WA",2/1/2017,2/28/2017,1.039517436,649,552,8,612000,0.9,793,30,0.182971014,0.54853621
"Washington, DC",4/1/2013,4/30/2013,1.001294209,691,1254,13,469000,1.8,1046,30,0.229665072,0.353111433
"Seattle, WA",3/1/2013,3/31/2013,1.002526525,819,1289,13,399000,1.6,1100,30,0.24515128,0.363858364
"San Jose, CA",12/1/2013,12/31/2013,1.012151712,775,602,22,599000,0.8,344,30,0.139534884,0.522580645
"Seattle, WA",7/1/2012,7/31/2012,0.991698845,841,2003,21,375000,2.4,920,30,0.266100849,0.2960761
"San Francisco, CA",9/1/2012,9/30/2012,1.048830261,424,970,16,817500,2.3,818,30,0.122680412,0.591981132
"San Diego, CA",12/1/2015,12/31/2015,0.974906117,1423,2261,35,499000,1.6,795,30,0.155683326,0.173699015
National,10/1/2014,10/31/2014,0.973850246,220117,854050,60,246900,3.9,244521,30,0.207417599,0.173483769
"Seattle, WA",12/1/2015,12/31/2015,1.013536369,893,664,12,500000,0.7,397,30,0.134036145,0.417693169
"San Jose, CA",10/1/2016,10/31/2016,1.013163685,751,1169,34,779444,1.6,704,30,0.22754491,0.573901465
"San Jose, CA",6/1/2016,6/30/2016,1.033373861,925,1327,20,799919,1.4,936,30,0.216277317,0.718918919
"San Francisco, CA",10/1/2014,10/31/2014,1.094740041,629,776,15,995000,1.2,682,30,0.202319588,0.750397456
"San Jose, CA",9/1/2014,9/30/2014,1.019156092,781,1361,16,688000,1.7,883,30,0.235855988,0.587708067
"Seattle, WA",5/1/2017,5/31/2017,1.078345717,1217,769,7,649000,0.6,1427,30,0.195058518,0.680361545
"San Francisco, CA",1/1/2016,1/31/2016,1.064342019,278,478,25,1099000,1.7,469,30,0.058577406,0.648550725
"Seattle, WA",8/1/2012,8/31/2012,0.992080028,889,1915,23,368500,2.2,865,30,0.285639687,0.278965129
"Washington, DC",9/1/2014,9/30/2014,0.997535813,595,1725,21,515000,2.9,1125,30,0.288695652,0.321008403
"San Jose, CA",6/1/2012,6/30/2012,1.018020493,973,1015,15,539000,1,879,30,0.197044335,0.543679342
"San Diego, CA",4/1/2017,4/30/2017,0.989173791,1321,2135,13,602500,1.6,1709,30,0.194847775,0.336866011
"Seattle, WA",1/1/2012,1/31/2012,0.969093262,454,2101,59,339000,4.6,654,30,0.286530224,0.162995595
"San Diego, CA",3/1/2015,3/31/2015,0.979144914,1352,2798,28,534000,2.1,1899,30,0.233380986,0.193047337
"San Francisco, CA",12/1/2012,12/31/2012,1.028928538,507,455,21,685000,0.9,182,30,0.112087912,0.520710059
National,2/1/2015,2/28/2015,0.972711308,149940,778155,74,266200,5.2,235536,30,0.146721412,0.173992036
"San Diego, CA",8/1/2015,8/31/2015,0.978785347,1453,3372,23,518000,2.3,1709,30,0.297449585,0.189263593
"Chicago, IL",3/1/2017,3/31/2017,0.980596793,2503,11445,68,305000,4.6,4336,30,0.179641765,0.259288853
"San Jose, CA",2/1/2014,2/28/2014,1.029995446,501,740,12,658400,1.5,774,30,0.136486486,0.652694611
"Washington, DC",3/1/2017,3/31/2017,1.000559859,845,1554,20,550000,1.8,1210,30,0.235521236,0.349112426
National,2/1/2013,2/28/2013,0.973010758,140862,645581,72,230800,4.6,205864,30,0.083969324,0.217793873
"San Jose, CA",8/1/2013,8/31/2013,1.029572964,934,1276,13,625000,1.4,994,30,0.257836991,0.650963597
"San Diego, CA",4/1/2016,4/30/2016,0.985452596,1528,2662,17,565000,1.7,1903,30,0.244928625,0.270287958
"San Francisco, CA",3/1/2016,3/31/2016,1.096146852,408,673,14,1159000,1.6,617,30,0.135215453,0.75
"San Jose, CA",8/1/2015,8/31/2015,1.041443969,867,1218,18,739000,1.4,926,30,0.206075534,0.725490196
"Washington, DC",8/1/2015,8/31/2015,1.001910412,768,1438,19,479900,1.9,737,30,0.245479833,0.360677083
National,3/1/2012,3/31/2012,0.962901107,172343,785043,85,219000,4.6,241861,30,0.109634759,0.188748505
"Washington, DC",11/1/2017,11/30/2017,1.002832535,801,1677,21,525000,2.1,808,30,0.266547406,0.368289638
"San Jose, CA",11/1/2016,11/30/2016,1.013037525,719,901,34,769950,1.3,471,30,0.190899001,0.552155772
"San Diego, CA",1/1/2015,1/31/2015,0.973781365,880,2741,46,499000,3.1,1410,30,0.217803721,0.143181818
National,12/1/2016,12/31/2016,0.977050183,226658,670568,55,255900,3,152549,30,0.151799668,0.193405204
"San Jose, CA",4/1/2016,4/30/2016,1.045557632,853,1077,16,799000,1.3,1001,30,0.166202414,0.762016413
"Seattle, WA",2/1/2015,2/28/2015,1.006882376,634,966,14,468888,1.5,865,30,0.207039337,0.345425868
"San Francisco, CA",1/1/2017,1/31/2017,1.037362156,260,628,53,1195000,2.4,457,30,0.060509554,0.488461538
National,10/1/2017,10/31/2017,0.980440239,239679,731144,44,292800,3.1,262004,30,0.256228595,0.223898371
National,5/1/2012,5/31/2012,0.971073264,201934,790849,66,222200,3.9,235594,30,0.108253282,0.204191857
"San Diego, CA",7/1/2017,7/31/2017,0.99100987,1453,2427,16,589900,1.7,1669,30,0.272352699,0.32071576
"San Diego, CA",2/1/2015,2/28/2015,0.974636696,1014,2742,45,520000,2.7,1567,30,0.219183078,0.166666667
